incident_id,timestamp,attack_type,target_system,severity,confidence_score,affected_users,country,remediation_status,target_label
1001,2025-09-11 23:15:00,Prompt Injection,Fraud Detection,4,0.81,543,USA,In Progress,malicious
1002,2025-09-01 14:20:00,Data Poisoning,Chatbot,3,0.72,883,USA,Open,malicious
1003,2025-09-27 11:58:00,Adversarial Example,Fraud Detection,1,0.52,4798,China,Open,malicious
1004,2025-09-08 20:04:00,Prompt Injection,Image Classifier,3,0.75,1223,Russia,Open,malicious
1005,2025-09-05 08:25:00,Prompt Injection,Image Classifier,1,0.88,2893,China,Open,malicious
1006,2025-09-12 16:50:00,Prompt Injection,Fraud Detection,5,0.63,2068,Germany,Closed,malicious
1007,2025-09-26 19:54:00,Adversarial Example,Fraud Detection,1,0.9,3709,Russia,Open,malicious
1008,2025-09-16 06:02:00,Data Poisoning,Fraud Detection,3,0.63,1786,USA,In Progress,malicious
1009,2025-09-12 03:03:00,Data Poisoning,Recommendation Engine,3,0.91,1457,USA,In Progress,malicious
1010,2025-09-29 12:50:00,Model Evasion,Fraud Detection,99,0.54,1914,USA,In Progress,malicious
1011,2025-09-02 04:05:00,Prompt Injection,Chatbot,1,0.93,500000,India,In Progress,malicious
1012,2025-09-01 12:49:00,Model Evasion,Recommendation Engine,1,0.75,3613,USA,Open,malicious
1013,2025-09-02 16:33:00,Model Evasion,Recommendation Engine,1,0.65,1308,USA,Closed,benign
1014,2025-09-04 16:31:00,Data Poisoning,Fraud Detection,1,0.63,647,Germany,,malicious
1015,2025-09-27 06:19:00,Adversarial Example,Chatbot,2,0.72,2187,China,Open,malicious
1016,2025-09-28 05:08:00,Adversarial Example,Recommendation Engine,4,1.0,552,China,,benign
1017,2025-09-13 04:48:00,Data Poisoning,Image Classifier,2,0.61,281,China,Closed,malicious
1018,2025-09-14 17:29:00,Adversarial Example,Recommendation Engine,1,0.55,1281,USA,Open,malicious
1019,2025-09-20 22:13:00,Model Evasion,Fraud Detection,5,0.79,1846,China,,malicious
1020,2025-09-05 10:36:00,Prompt Injection,Chatbot,2,0.74,2487,China,Closed,malicious
1021,2025-09-20 02:00:00,Data Poisoning,Fraud Detection,2,0.76,2793,Russia,,malicious
1022,2025-09-29 18:34:00,Prompt Injection,Image Classifier,2,0.83,3711,USA,In Progress,malicious
1023,2025-09-18 19:38:00,Adversarial Example,Image Classifier,5,0.63,4199,Russia,In Progress,benign
1024,2025-09-14 03:42:00,Prompt Injection,Image Classifier,1,0.96,4861,Germany,Closed,malicious
1025,2025-09-13 19:11:00,Adversarial Example,Fraud Detection,5,0.72,2776,USA,Closed,malicious
1026,2025-09-02 21:47:00,Adversarial Example,Recommendation Engine,4,0.56,1596,Germany,,malicious
1027,2025-09-01 03:09:00,Model Evasion,Fraud Detection,1,0.87,479,USA,Closed,malicious
1028,2025-09-14 06:38:00,Adversarial Example,Chatbot,99,0.82,,Brazil,In Progress,malicious
1029,2025-09-25 20:13:00,Model Evasion,Recommendation Engine,2,0.66,3218,Russia,In Progress,malicious
1030,2025-09-02 07:39:00,Model Evasion,Image Classifier,1,0.81,1963,USA,Open,benign
1031,2025-09-01 21:07:00,Model Evasion,Fraud Detection,5,0.61,2142,USA,,malicious
1032,2025-09-22 21:51:00,Data Poisoning,Image Classifier,4,0.72,3898,USA,Closed,benign
1033,2025-09-08 21:54:00,Data Poisoning,Image Classifier,4,0.95,2072,USA,Closed,malicious
1034,2025-09-03 11:16:00,Adversarial Example,Chatbot,1,0.57,1295,USA,Closed,malicious
1035,2025-09-03 16:50:00,Model Evasion,Recommendation Engine,3,0.69,938,USA,,benign
1036,2025-09-29 21:26:00,Data Poisoning,Chatbot,4,0.91,761,Germany,In Progress,malicious
1037,2025-09-22 08:20:00,Model Evasion,Chatbot,2,0.98,4749,USA,Closed,benign
1038,2025-09-11 01:42:00,Prompt Injection,Chatbot,2,0.73,1669,India,Closed,malicious
1039,2025-09-16 02:57:00,Prompt Injection,Image Classifier,1,0.75,3862,India,In Progress,malicious
1040,2025-09-08 09:07:00,Prompt Injection,Chatbot,1,0.79,2685,China,Closed,malicious
1041,2025-09-07 02:32:00,Adversarial Example,Chatbot,5,0.97,3899,Russia,Open,malicious
1042,2025-09-30 21:01:00,Model Evasion,Recommendation Engine,3,0.93,1931,USA,In Progress,malicious
1043,2025-09-06 20:33:00,Prompt Injection,Recommendation Engine,99,0.59,3939,USA,In Progress,benign
1044,2025-09-30 20:41:00,Data Poisoning,Chatbot,3,0.72,1126,Germany,In Progress,malicious
1045,2025-09-08 15:36:00,Prompt Injection,Recommendation Engine,4,0.73,3297,China,Open,malicious
1046,2025-09-17 14:17:00,Prompt Injection,Recommendation Engine,2,0.89,4670,China,In Progress,malicious
1047,2025-09-02 19:32:00,Prompt Injection,Chatbot,2,0.8,1203,Russia,,malicious
1048,2025-09-17 07:23:00,Adversarial Example,Image Classifier,2,0.83,,Brazil,,malicious
1049,2025-09-12 21:59:00,Data Poisoning,Chatbot,2,1.0,3772,Germany,,malicious
1050,2025-09-29 11:14:00,Model Evasion,Recommendation Engine,3,0.54,519,India,In Progress,malicious
1051,2025-09-11 02:21:00,Data Poisoning,Image Classifier,99,0.61,2283,USA,In Progress,malicious
1052,2025-09-25 22:40:00,Model Evasion,Fraud Detection,4,0.7,4558,USA,In Progress,malicious
1053,2025-09-19 10:11:00,Adversarial Example,Image Classifier,2,0.67,482,Germany,Open,malicious
1054,2025-09-02 02:25:00,Adversarial Example,Recommendation Engine,1,0.51,,China,,malicious
1055,2025-09-03 17:43:00,Adversarial Example,Image Classifier,1,0.55,3093,China,Closed,benign
1056,2025-09-17 14:59:00,Adversarial Example,Chatbot,3,0.84,342,USA,Closed,malicious
1057,2025-09-14 12:17:00,Model Evasion,Fraud Detection,4,0.94,,Germany,In Progress,malicious
1058,2025-09-01 17:01:00,Prompt Injection,Fraud Detection,5,0.76,1202,USA,Open,benign
1059,2025-09-09 02:13:00,Model Evasion,Fraud Detection,1,0.77,1621,Germany,In Progress,malicious
1060,2025-09-10 07:37:00,Data Poisoning,Recommendation Engine,3,0.63,2398,USA,Closed,malicious
1061,2025-09-29 07:17:00,Adversarial Example,Recommendation Engine,3,0.88,3596,USA,,malicious
1062,2025-09-07 17:32:00,Adversarial Example,Fraud Detection,4,0.88,3535,USA,Closed,malicious
1063,2025-09-05 18:33:00,Data Poisoning,Image Classifier,3,0.79,2877,USA,,malicious
1064,2025-09-04 22:35:00,Model Evasion,Fraud Detection,4,0.61,2390,Russia,,malicious
1065,2025-09-01 02:41:00,Prompt Injection,Image Classifier,4,0.55,3351,USA,Open,benign
1066,2025-09-26 17:45:00,Prompt Injection,Image Classifier,1,0.53,2913,USA,Closed,malicious
1067,2025-09-19 10:37:00,Data Poisoning,Recommendation Engine,4,0.8,1189,China,In Progress,malicious
1068,2025-09-24 10:43:00,Prompt Injection,Image Classifier,1,0.91,2340,China,Open,malicious
1069,2025-09-23 15:26:00,Model Evasion,Fraud Detection,4,0.93,3580,USA,,malicious
1070,2025-09-09 00:14:00,Model Evasion,Recommendation Engine,3,0.73,1603,USA,Closed,malicious
1071,2025-09-21 05:27:00,Data Poisoning,Chatbot,3,0.89,3297,Brazil,In Progress,malicious
1072,2025-09-29 01:17:00,Model Evasion,Chatbot,5,0.97,597,Germany,Open,malicious
1073,2025-09-18 22:51:00,Adversarial Example,Recommendation Engine,5,0.64,644,USA,In Progress,malicious
1074,2025-09-01 16:56:00,Data Poisoning,Fraud Detection,5,0.7,4543,China,Closed,malicious
1075,2025-09-17 20:13:00,Model Evasion,Chatbot,3,0.97,2902,USA,In Progress,malicious
1076,2025-09-17 20:36:00,Data Poisoning,Chatbot,4,0.67,,USA,Open,malicious
1077,2025-09-17 03:27:00,Prompt Injection,Image Classifier,3,0.96,4830,Germany,In Progress,malicious
1078,2025-09-17 21:00:00,Model Evasion,Image Classifier,5,0.99,1642,Russia,Closed,malicious
1079,2025-09-06 22:09:00,Adversarial Example,Fraud Detection,3,0.83,2297,USA,Open,malicious
1080,2025-09-12 23:42:00,Model Evasion,Recommendation Engine,5,0.91,4696,India,,malicious
1081,2025-09-07 10:28:00,Data Poisoning,Fraud Detection,5,0.87,2172,USA,Open,malicious
1082,2025-09-15 18:31:00,Data Poisoning,Recommendation Engine,4,0.85,2160,USA,Closed,malicious
1083,2025-09-09 11:05:00,Model Evasion,Chatbot,2,0.65,3749,USA,In Progress,malicious
1084,2025-09-15 18:03:00,Adversarial Example,Image Classifier,1,0.53,2922,USA,,malicious
1085,2025-09-28 03:39:00,Adversarial Example,Fraud Detection,5,0.67,579,Russia,,malicious
1086,2025-09-06 22:51:00,Adversarial Example,Fraud Detection,1,0.83,3804,China,In Progress,benign
1087,2025-09-28 18:16:00,Data Poisoning,Recommendation Engine,5,0.55,4878,USA,Closed,malicious
1088,2025-09-27 10:04:00,Model Evasion,Recommendation Engine,3,0.51,2368,Brazil,Open,malicious
1089,2025-09-29 07:34:00,Prompt Injection,Fraud Detection,3,0.57,3932,Russia,Closed,malicious
1090,2025-09-02 18:48:00,Data Poisoning,Recommendation Engine,5,0.86,4627,India,,benign
1091,2025-09-02 09:47:00,Adversarial Example,Fraud Detection,4,0.99,3360,Russia,Open,malicious
1092,2025-09-02 20:55:00,Model Evasion,Fraud Detection,3,0.99,4707,USA,Open,malicious
1093,2025-09-04 15:38:00,Adversarial Example,Fraud Detection,3,0.75,1100,India,In Progress,malicious
1094,2025-09-16 06:42:00,Prompt Injection,Chatbot,2,0.93,1670,Germany,Closed,malicious
1095,2025-09-28 10:24:00,Adversarial Example,Recommendation Engine,4,0.87,2220,Russia,Open,malicious
1096,2025-09-24 00:39:00,Adversarial Example,Image Classifier,2,0.75,4970,India,In Progress,benign
1097,2025-09-10 17:06:00,Prompt Injection,Image Classifier,5,0.79,216,USA,Closed,malicious
1098,2025-09-09 19:06:00,Model Evasion,Recommendation Engine,5,0.57,375,India,,malicious
1099,2025-09-27 20:20:00,Data Poisoning,Fraud Detection,2,0.97,1609,USA,,malicious
1100,2025-09-03 11:21:00,Model Evasion,Image Classifier,4,0.68,4106,USA,Closed,malicious
1101,2025-09-19 15:34:00,Prompt Injection,Image Classifier,3,0.72,3839,USA,Open,malicious
1102,2025-09-28 01:12:00,Adversarial Example,Recommendation Engine,2,0.84,2939,Russia,Open,malicious
1103,2025-09-16 17:42:00,Model Evasion,Image Classifier,99,0.67,4062,USA,,malicious
1104,2025-09-06 19:52:00,Data Poisoning,Fraud Detection,1,0.63,1613,China,,malicious
1105,2025-09-22 04:55:00,Prompt Injection,Recommendation Engine,2,0.82,3679,USA,Open,malicious
1106,2025-09-10 01:47:00,Model Evasion,Fraud Detection,3,0.51,4913,Brazil,Closed,malicious
1107,2025-09-17 09:19:00,Data Poisoning,Image Classifier,3,0.86,1296,USA,,malicious
1108,2025-09-25 11:02:00,Prompt Injection,Image Classifier,3,0.76,3996,India,Open,benign
1109,2025-09-09 05:17:00,Data Poisoning,Fraud Detection,4,0.8,4786,Russia,Closed,malicious
1110,2025-09-10 17:59:00,Prompt Injection,Chatbot,4,0.82,1155,China,In Progress,malicious
1111,2025-09-22 09:38:00,Adversarial Example,Image Classifier,4,0.76,4879,USA,Closed,malicious
1112,2025-09-14 06:35:00,Model Evasion,Chatbot,1,0.79,2366,Germany,Open,benign
1113,2025-09-08 14:45:00,Data Poisoning,Image Classifier,2,0.84,2891,Russia,Closed,malicious
1114,2025-09-18 00:58:00,Prompt Injection,Chatbot,2,high,1972,India,Open,malicious
1115,2025-09-30 12:50:00,Data Poisoning,Chatbot,2,0.86,,USA,,malicious
1116,2025-09-04 12:16:00,Data Poisoning,Chatbot,3,0.93,4492,Russia,In Progress,malicious
1117,2025-09-23 13:22:00,Model Evasion,Fraud Detection,2,0.59,1081,USA,,malicious
1118,2025-09-06 15:10:00,Adversarial Example,Chatbot,2,0.7,2033,China,,malicious
1119,2025-09-10 13:33:00,Data Poisoning,Chatbot,2,0.97,,India,Open,malicious
1120,2025-09-19 22:26:00,Prompt Injection,Chatbot,5,0.7,4555,USA,Open,malicious
1121,2025-09-13 02:12:00,Prompt Injection,Image Classifier,5,0.56,2416,India,Open,malicious
1122,2025-09-24 02:30:00,Adversarial Example,Chatbot,4,0.76,4641,China,Open,malicious
