Date/Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather
6/15/2012 8:00,18.6,9.5,55,17,48.3,102.4,Mainly Clear
8/31/2012 1:00,23.5,14.1,,35,25,100.51,Mainly Clear
4/8/2012 11:00,9.4,-3.6,40,15,48.3,100.46,Mostly Cloudy
1/21/2012 9:00,-15.9,-21,65,13,24.1,102.11,Snow
11/23/2012 6:00,3.7,-2.1,,13,25,100.61,Mostly Cloudy
9/15/2012 23:00,7.9,5.6,85,9,25,101.5,Clear
2/15/2012 10:00,1,-0.7,88,0,6.4,101.62,Snow
8/3/2012 18:00,27.2,16.1,51,11,48.3,101.18,Clear
4/4/2012 12:00,8.9,-2.9,,24,48.3,99.71,Mostly Cloudy
1/9/2012 17:00,-1.4,-5.8,72,15,24.1,100.96,Mostly Cloudy
1/25/2012 12:00,-5,-11.8,59,20,24.1,102.06,Mostly Cloudy
1/8/2012 23:00,-9,-13.9,68,7,25,102.22,Mostly Cloudy
9/27/2012 13:00,13.6,4.5,54,11,48.3,101.99,Mostly Cloudy
11/8/2012 13:00,4.7,-3.3,,26,24.1,101.24,Mostly Cloudy
10/4/2012 22:00,15.3,13.8,91,13,12.9,101.01,Mainly Clear
2/13/2012 3:00,-8.8,-14.6,63,20,25,100.31,Cloudy
10/9/2012 5:00,5.1,3.2,,4,25,102.08,Mainly Clear
11/6/2012 16:00,1.9,-8.1,47,13,48.3,101.87,Mostly Cloudy
12/31/2012 17:00,-1.1,-3.3,85,19,9.7,100.3,Snow
8/10/2012 21:00,18.5,17.7,95,22,16.1,100.62,Rain
5/3/2012 1:00,11.4,,85,15,25,101.17,Cloudy
6/12/2012 3:00,20.2,14.3,69,17,25,101,Mostly Cloudy
5/20/2012 15:00,30.9,10.7,,4,48.3,101.67,Mainly Clear
4/30/2012 23:00,11.1,-2,40,6,25,,Cloudy
4/12/2012 2:00,4.8,-2.6,59,17,25,101.18,Mainly Clear
11/4/2012 1:00,3.2,-0.7,76,11,25,100.87,Mostly Cloudy
6/7/2012 14:00,22.7,9.4,43,11,48.3,100.86,Mainly Clear
8/29/2012 2:00,13.4,8.6,73,11,25,,Mostly Cloudy
8/21/2012 1:00,15,10.8,76,4,25,100.85,Mainly Clear
4/18/2012 10:00,5.3,-5.1,47,9,48.3,102.36,Clear
3/29/2012 5:00,0.6,-2.1,82,9,25,100.35,Snow
10/8/2012 22:00,8,,66,4,25,102.08,Clear
10/4/2012 5:00,11.5,11,97,9,16.1,101.59,Cloudy
1/4/2012 23:00,-9.6,-12.6,,6,9.7,100.42,Snow
12/29/2012 9:00,-13.2,-14.8,88,11,12.9,101.13,Cloudy
5/25/2012 11:00,25.5,16.9,59,22,24.1,,Mostly Cloudy
7/23/2012 13:00,30.1,20.4,56,11,48.3,100.46,Mainly Clear
1/4/2012 8:00,-17.8,-24.2,57,17,24.1,101.73,Mostly Cloudy
3/6/2012 17:00,-4.8,-15.1,44,6,48.3,102.9,Mainly Clear
12/14/2012 1:00,0,-3,80,17,25,101.62,Mostly Cloudy
12/21/2012 0:00,1.9,-2.1,75,26,25,,"Rain,Snow Grains"
6/24/2012 15:00,26.7,8.9,33,22,48.3,100.63,Mostly Cloudy
9/25/2012 7:00,13,6.9,66,28,48.3,100.89,Mainly Clear
9/13/2012 7:00,18.1,13.8,76,6,48.3,,Mainly Clear
7/24/2012 5:00,19.5,18.6,95,6,24.1,99.78,Mostly Cloudy
7/3/2012 12:00,25.2,12.3,,11,48.3,100.79,Mostly Cloudy
10/29/2012 5:00,9.6,7.4,86,20,25,100.76,Cloudy
11/12/2012 22:00,16,8.2,,26,25,100.87,Cloudy
12/7/2012 10:00,1.2,-5.8,60,9,48.3,101.26,Mostly Cloudy
8/20/2012 3:00,15.6,13.3,86,0,25,100.75,Mainly Clear
11/18/2012 18:00,2.6,-7.5,,9,25,103.36,Mostly Cloudy
9/8/2012 18:00,20.5,16,75,39,24.1,,Cloudy
9/22/2012 1:00,15.9,15.4,97,7,11.3,,Cloudy
3/18/2012 18:00,18.4,10.1,58,9,48.3,101.32,Mostly Cloudy
10/12/2012 23:00,-0.2,-4.9,71,9,25,102.48,Mainly Clear
3/29/2012 3:00,0.5,-1.9,84,11,25,100.19,Cloudy
7/10/2012 22:00,20.2,6.6,41,7,25,101.37,Clear
6/14/2012 4:00,12.4,4.9,60,15,48.3,102.04,Clear
2/2/2012 16:00,-6.6,-11.7,67,11,24.1,101.94,Mostly Cloudy
1/27/2012 9:00,0.7,-1.4,,17,12.9,99.34,Rain
11/15/2012 21:00,-2.9,-6.3,77,6,25,,Clear
6/14/2012 10:00,20,3.8,34,17,48.3,102.31,Clear
10/27/2012 22:00,12.8,7.8,72,13,25,101.13,Mostly Cloudy
2/27/2012 4:00,-8.2,-14.4,61,9,25,102.58,Cloudy
6/19/2012 18:00,27.9,19.1,59,19,24.1,100.93,Cloudy
10/6/2012 11:00,9.6,8.4,92,13,24.1,100.35,Rain
10/8/2012 18:00,10.6,-0.7,45,7,25,101.98,Mostly Cloudy
5/9/2012 20:00,15.9,11,73,7,25,99.68,Mostly Cloudy
4/15/2012 19:00,16.3,11.5,73,17,24.1,100.78,Cloudy
12/13/2012 1:00,-4.3,-5.3,93,11,12.9,102.49,Clear
2/12/2012 19:00,-11.9,-19.3,54,24,25,100.58,Mostly Cloudy
5/9/2012 14:00,17.9,11.2,65,15,24.1,99.88,Mostly Cloudy
5/23/2012 0:00,13.1,10.4,84,0,25,100.82,Clear
5/5/2012 14:00,14.4,-1,,7,48.3,101.59,Mainly Clear
1/30/2012 19:00,-8.8,-15.9,56,7,25,101.96,Mainly Clear
8/31/2012 15:00,25.6,18.6,65,30,24.1,100.35,Mostly Cloudy
3/22/2012 13:00,23.3,12.1,49,19,24.1,101.43,Mostly Cloudy
4/23/2012 16:00,5.6,2.4,80,39,24.1,98.81,Cloudy
3/11/2012 0:00,-3.1,-7.2,73,7,25,102.36,Mainly Clear
4/28/2012 2:00,-0.4,-8.1,56,22,25,101.5,Cloudy
3/13/2012 0:00,7.5,-0.7,56,13,25,101.11,Mostly Cloudy
5/1/2012 15:00,10.4,7.9,,,9.7,101.16,Drizzle
3/14/2012 2:00,0.6,-1,89,7,0.8,101.05,Fog
4/3/2012 20:00,7.8,-9.2,,9,25,100.42,Mostly Cloudy
10/27/2012 23:00,12,8.4,79,11,25,101.14,Mostly Cloudy
11/20/2012 13:00,5.5,-1,63,4,11.3,101.83,Mostly Cloudy
11/3/2012 17:00,5,2.3,83,20,24.1,100.62,Drizzle
7/22/2012 13:00,28.3,18.8,56,20,48.3,101.11,Mainly Clear
1/13/2012 9:00,-5,,84,32,4.8,,"Freezing Rain,Snow Grains"
4/14/2012 9:00,10.8,-0.3,,20,48.3,101.45,Mostly Cloudy
10/2/2012 2:00,12.4,12.3,99,7,19.3,100.77,Mostly Cloudy
5/6/2012 12:00,14.7,-2.9,,6,48.3,101.74,Mainly Clear
6/23/2012 14:00,26.1,7.1,30,15,48.3,100.82,Mainly Clear
4/23/2012 9:00,3.1,0.6,84,44,12.9,99.29,Rain
9/7/2012 7:00,18.6,14.4,,15,48.3,100.81,Mostly Cloudy
6/4/2012 18:00,16.5,7.1,54,15,48.3,100.74,Mostly Cloudy
3/4/2012 17:00,-6.9,-14.6,54,22,48.3,99.94,Mainly Clear
2/25/2012 14:00,-3.2,-6.3,,35,3.2,99.05,Snow
7/1/2012 6:00,21,12.9,,7,24.1,100.41,Mostly Cloudy
11/21/2012 2:00,0.4,-2.5,81,7,25,101.82,Mainly Clear
6/25/2012 17:00,16.5,10.8,,26,24.1,100.14,Cloudy
6/17/2012 10:00,25,16.1,58,,48.3,101.43,Mainly Clear
9/30/2012 9:00,11.7,9.9,,20,19.3,100.84,Cloudy
10/14/2012 14:00,6.6,6.3,98,19,2,100.84,"Rain,Fog"
7/16/2012 12:00,27.4,20.3,,11,24.1,100.52,Mostly Cloudy
1/9/2012 0:00,-9.2,-14.3,66,6,25,102.17,Mostly Cloudy
5/26/2012 2:00,18.6,12.3,67,11,25,,Clear
10/13/2012 12:00,9.7,-1.9,44,22,48.3,102.37,Mostly Cloudy
5/2/2012 10:00,9.5,7.8,89,13,6.4,101.73,Fog
10/15/2012 22:00,12.1,5.1,62,32,25,99.73,Mostly Cloudy
3/11/2012 2:00,-3.1,-7.1,74,7,25,102.18,Mainly Clear
3/3/2012 22:00,2.8,-3.4,64,57,25,99.07,Snow
10/21/2012 23:00,9.3,4.9,74,17,25,100.75,Mostly Cloudy
7/29/2012 6:00,17.6,11.2,66,15,48.3,101.27,Mainly Clear
12/12/2012 4:00,-10.1,-11.6,89,6,25,102.04,Clear
2/14/2012 10:00,-8.8,-14.3,64,4,24.1,101.15,Mainly Clear
5/3/2012 15:00,16.2,11,71,7,24.1,101.27,Cloudy
6/9/2012 2:00,12.2,7.8,74,0,25,100.54,Clear
9/23/2012 19:00,9.8,5.3,74,4,25,101.23,Mainly Clear
5/9/2012 1:00,12.6,11.2,91,0,3.2,,"Rain,Fog"
10/10/2012 16:00,13.7,10.4,80,26,16.1,100.02,Rain
3/5/2012 8:00,-15.7,-22.5,56,24,24.1,101,Mostly Cloudy
8/24/2012 22:00,23,14.3,,,25,101.77,Mainly Clear
4/7/2012 0:00,5.6,-9.7,32,11,25,101.28,Cloudy
2/27/2012 21:00,-7.3,-9.7,83,4,25,101.29,Snow
4/2/2012 6:00,-1.8,-3.5,,6,24.1,100.56,Clear
8/10/2012 14:00,21.7,19.3,86,19,8,100.64,"Rain,Fog"
3/31/2012 5:00,-0.6,-9.2,,13,25,101.3,Cloudy
3/18/2012 21:00,13.4,9.2,,,25,101.37,Mainly Clear
1/12/2012 20:00,-5,-7.8,81,28,6.4,99.64,Snow
9/15/2012 12:00,16.6,7.3,54,17,48.3,,Mostly Cloudy
11/20/2012 23:00,2,-2.3,73,9,25,,Mostly Cloudy
4/3/2012 21:00,7.1,-8.2,,7,25,100.36,Mostly Cloudy
9/1/2012 19:00,20.9,8.3,44,6,48.3,101.45,Clear
12/20/2012 17:00,-0.3,-3.2,81,19,25,101.38,Mostly Cloudy
12/15/2012 11:00,-9.3,-14.9,64,19,48.3,102.74,Mainly Clear
3/30/2012 23:00,1.4,-7.7,51,6,25,101.34,Mainly Clear
10/3/2012 19:00,19,13.9,,7,25,101.51,Cloudy
7/12/2012 10:00,26,14.8,50,20,48.3,101.57,Mainly Clear
11/25/2012 8:00,-4.3,-9.4,68,24,24.1,,Mainly Clear
8/21/2012 6:00,14.6,10.9,,7,48.3,101.02,Mainly Clear
4/5/2012 8:00,2.7,-6.5,51,20,24.1,100.72,Mostly Cloudy
3/14/2012 6:00,0.6,-0.9,,7,0.6,,Fog
9/4/2012 15:00,24.1,17.8,68,19,24.1,100.81,Cloudy
12/30/2012 12:00,-12.2,-15.7,75,26,48.3,100.91,Mostly Cloudy
12/29/2012 3:00,-13.4,-15.2,86,4,4.8,101.33,Fog
3/23/2012 8:00,11.3,1.8,52,0,48.3,101.93,Clear
2/6/2012 19:00,3.1,-2.6,66,13,25,100.62,Cloudy
12/7/2012 13:00,3.7,-4.3,56,6,48.3,101.15,Cloudy
7/28/2012 9:00,20.7,12.3,59,19,48.3,101.25,Mostly Cloudy
9/17/2012 9:00,16.8,13.1,79,13,24.1,,Mainly Clear
11/11/2012 23:00,1.1,-0.3,90,15,25,102.04,Clear
2/13/2012 6:00,-7.9,,59,22,25,100.37,Cloudy
3/16/2012 13:00,3.3,,97,6,9.7,101.38,Fog
5/8/2012 2:00,14.8,5.4,,4,25,100.71,Cloudy
8/3/2012 15:00,29.2,16.7,,17,24.1,101.11,Mainly Clear
2/16/2012 22:00,1.5,-0.6,86,17,12.9,100.8,Rain
10/12/2012 19:00,2.5,-3.9,63,13,25,102.28,Clear
12/26/2012 10:00,-11,-13.2,,15,24.1,102.54,Mainly Clear
12/3/2012 12:00,3.9,1.3,83,9,24.1,,Cloudy
11/30/2012 13:00,-9,-15.2,61,6,48.3,103.15,Mostly Cloudy
5/9/2012 0:00,12.5,,91,0,3.2,100.27,"Rain,Fog"
10/1/2012 21:00,13.8,12,89,6,25,100.65,Mostly Cloudy
7/5/2012 0:00,17.9,14.8,,9,25,100.38,Clear
12/17/2012 17:00,1.9,0.7,92,17,16.1,100.57,Cloudy
11/6/2012 12:00,1.5,-6.4,56,17,48.3,101.89,Cloudy
6/14/2012 23:00,19.6,5.8,40,6,25,102.21,Clear
9/12/2012 20:00,22.4,14,59,11,25,101.88,Mainly Clear
4/6/2012 19:00,7.3,-11.7,24,13,25,101.21,Mostly Cloudy
12/28/2012 10:00,-6.1,-8.6,,19,24.1,101.27,Clear
6/28/2012 5:00,17.6,13.7,78,9,48.3,100.25,Mostly Cloudy
8/2/2012 9:00,24.5,19.8,75,17,48.3,,Mainly Clear
3/26/2012 21:00,-2.3,-18.4,28,24,25,101.79,Clear
3/31/2012 18:00,7,-8.2,33,7,48.3,100.87,Mainly Clear
5/10/2012 12:00,10,,73,30,24.1,99.48,Cloudy
3/9/2012 10:00,-3.7,-10.1,,19,48.3,,Mainly Clear
10/24/2012 4:00,2,-1.5,78,9,25,101.91,Clear
8/5/2012 8:00,26.5,21,72,24,24.1,100.8,Cloudy
11/9/2012 21:00,4.6,0.5,75,9,25,101.54,Cloudy
2/25/2012 0:00,1,-0.6,89,11,12.9,98.29,Rain
9/29/2012 3:00,11.7,9.9,,11,25,101.19,Cloudy
11/20/2012 19:00,1.9,-1.1,80,7,16.1,101.85,Mostly Cloudy
2/16/2012 9:00,1.8,-1.3,80,0,16.1,101.91,Mostly Cloudy
6/20/2012 4:00,23.1,18.2,74,13,24.1,,Mainly Clear
4/30/2012 16:00,12.9,-3.8,31,9,48.3,101.79,Mostly Cloudy
10/25/2012 2:00,8.4,-0.9,52,15,25,101.89,Mostly Cloudy
11/8/2012 10:00,2.4,-3.9,63,30,24.1,101.41,Mostly Cloudy
1/30/2012 21:00,-8.4,-15.5,57,4,25,101.96,Mostly Cloudy
1/19/2012 6:00,-15.3,-19.7,69,6,25,101.83,Clear
2/17/2012 22:00,1.2,-3.9,69,15,25,100.72,Mainly Clear
4/16/2012 12:00,24.8,11.7,,30,24.1,100.39,Cloudy
7/10/2012 12:00,25.9,9.4,35,26,48.3,101.15,Mainly Clear
6/9/2012 0:00,12.8,8,73,6,25,100.51,Clear
8/11/2012 9:00,20.4,18,86,15,24.1,100.66,Cloudy
9/2/2012 9:00,19.1,11.5,,4,48.3,101.52,Mostly Cloudy
6/16/2012 19:00,25,13,47,7,48.3,101.66,Mainly Clear
9/3/2012 14:00,28,10.4,,0,48.3,101.41,Mainly Clear
6/11/2012 9:00,22.4,15.6,65,7,24.1,101.63,Mostly Cloudy
2/11/2012 23:00,-14.5,-20.8,59,13,25,100.68,Clear
11/11/2012 12:00,3.7,0.3,,24,24.1,102.15,Mostly Cloudy
9/25/2012 19:00,16.6,10.5,,11,25,101.02,Clear
5/23/2012 17:00,22.3,,,4,24.1,101.1,Mainly Clear
6/12/2012 18:00,18.2,16.3,89,20,9.7,100.55,"Rain,Fog"
9/19/2012 13:00,13.6,2.7,48,24,48.3,101.41,Mostly Cloudy
8/30/2012 9:00,19.6,13.2,,32,48.3,100.93,Mainly Clear
3/23/2012 17:00,14.7,,25,13,48.3,101.62,Cloudy
7/27/2012 17:00,25.8,15.8,54,6,24.1,100.66,Mostly Cloudy
2/23/2012 1:00,1.7,-1.1,82,11,25,99.18,Cloudy
4/28/2012 6:00,-2.1,-10.7,,22,48.3,101.74,Mainly Clear
9/12/2012 6:00,13.5,11.2,86,0,48.3,,Clear
10/9/2012 6:00,5.4,3.7,89,7,48.3,102.09,Mainly Clear
2/24/2012 4:00,-2.8,-5,,0,25,100.31,Cloudy
1/26/2012 19:00,-4.5,-13.5,49,17,25,101.25,Cloudy
8/10/2012 12:00,20.8,18.8,88,17,6.4,100.73,Fog
2/6/2012 8:00,1.1,-3.8,70,33,24.1,100.63,Mostly Cloudy
11/19/2012 18:00,1.1,-1.9,,4,19.3,102.39,Mainly Clear
10/31/2012 14:00,10.3,8.8,90,11,12.9,99.28,Drizzle
2/14/2012 18:00,1.3,-3.9,,9,25,101.08,Cloudy
4/4/2012 14:00,8.5,-3.4,43,26,24.1,99.72,Cloudy
3/29/2012 12:00,3.9,,,6,24.1,100.71,Cloudy
10/3/2012 12:00,16.9,13.2,,19,24.1,101.42,Mostly Cloudy
2/13/2012 9:00,-7.5,-14.6,57,20,48.3,100.56,Cloudy
2/11/2012 5:00,-11.5,-14.4,79,20,16.1,100.99,Snow
4/6/2012 22:00,6.8,-10.8,,11,25,,Cloudy
1/1/2012 14:00,0.8,-1.1,,20,4.8,100.31,Fog
8/25/2012 14:00,30.8,15.7,,7,48.3,101.79,Mainly Clear
3/19/2012 1:00,10.8,8.5,86,6,25,101.39,Clear
1/4/2012 4:00,-18.5,-24.6,,13,25,101.82,Mainly Clear
5/20/2012 13:00,29.5,11,32,9,48.3,101.78,Mainly Clear
9/16/2012 3:00,6.7,5.6,93,7,25,101.44,Clear
7/4/2012 21:00,21.2,18.3,84,9,25,100.25,Mainly Clear
3/13/2012 17:00,4.9,,83,17,8,100.68,Haze
9/21/2012 12:00,17.8,13.3,75,17,48.3,101.08,Cloudy
12/4/2012 7:00,5.1,3.4,89,13,25,,Cloudy
12/30/2012 15:00,-11.3,-15.6,70,32,48.3,101.05,Mainly Clear
3/13/2012 13:00,4.9,3,87,7,6.4,100.63,Fog
3/31/2012 1:00,1.3,-9.6,44,13,25,101.31,Mostly Cloudy
8/12/2012 9:00,22.3,16.6,70,19,48.3,100.79,Mainly Clear
6/16/2012 3:00,14.7,9.6,,17,25,102.03,Mainly Clear
8/25/2012 2:00,20.9,13.7,,6,25,101.8,Mainly Clear
7/17/2012 22:00,22.4,18.3,78,9,25,100.19,Mostly Cloudy
2/27/2012 0:00,-8.2,-16.2,52,7,25,102.63,Cloudy
3/20/2012 0:00,7.1,1,65,11,25,101.85,Clear
8/22/2012 15:00,25.7,10.9,39,20,48.3,101.33,Clear
10/11/2012 3:00,6.6,3.9,,24,25,100.51,Mostly Cloudy
12/29/2012 17:00,-9,-10.4,90,19,2.4,,"Snow,Fog"
4/3/2012 23:00,6.9,-9.2,31,11,25,100.29,Cloudy
2/3/2012 15:00,-2.9,-7.8,69,19,19.3,102.25,Snow
7/25/2012 20:00,23.2,12,,15,25,,Cloudy
4/11/2012 11:00,6.7,2,72,11,24.1,100.78,Cloudy
1/12/2012 5:00,-8,-13.7,64,30,25,100.81,Cloudy
12/6/2012 6:00,-5.7,-9.7,73,13,25,102.45,Mainly Clear
8/18/2012 7:00,15.6,12.2,80,20,48.3,100.77,Mainly Clear
2/9/2012 17:00,2,,,20,48.3,101.02,Clear
7/18/2012 22:00,17.5,10.3,63,11,25,101.06,Clear
9/18/2012 23:00,17.7,16.1,90,33,12.9,99.52,Rain
9/11/2012 4:00,9.2,6.8,,4,25,101.7,Clear
5/4/2012 20:00,15.4,13.5,88,9,25,,Mostly Cloudy
10/24/2012 3:00,4.9,-0.9,66,7,25,101.9,Clear
9/2/2012 5:00,14.2,10.2,,6,25,101.43,Mainly Clear
7/11/2012 0:00,18.5,6.5,45,7,25,101.45,Clear
6/3/2012 0:00,13.1,10.4,84,9,19.3,100.33,Cloudy
12/29/2012 19:00,-9.5,-11.2,87,26,3.2,,"Snow,Fog"
6/19/2012 5:00,18,13.7,76,6,25,101.19,Mostly Cloudy
7/2/2012 21:00,20,10.4,54,6,25,100.81,Mainly Clear
3/28/2012 15:00,2.5,0.6,,19,19.3,99.42,Rain
12/7/2012 17:00,2.8,-3.3,,11,25,101.14,Cloudy
3/25/2012 7:00,2.5,0.9,89,17,24.1,100.76,Rain
8/9/2012 11:00,23.2,17.3,,13,24.1,100.98,Cloudy
3/2/2012 17:00,-2.7,-5.1,,15,12.9,100.89,Cloudy
9/16/2012 1:00,6.1,5.2,94,9,25,101.49,Clear
1/2/2012 13:00,1.1,-6.5,57,37,24.1,99.27,Mostly Cloudy
4/8/2012 6:00,4.8,-4.1,52,7,48.3,100.91,Mostly Cloudy
1/1/2012 19:00,3.1,,88,15,12.9,99.68,Rain
6/18/2012 5:00,17.9,13.2,74,19,24.1,101.12,Mostly Cloudy
2/7/2012 3:00,0.8,-5,65,19,25,100.94,Snow Showers
12/7/2012 18:00,2.2,-3.5,66,7,25,101.13,Mostly Cloudy
10/11/2012 10:00,7.7,0.2,59,32,48.3,,Mostly Cloudy
2/26/2012 9:00,-11.6,-18.6,56,32,48.3,102.32,Mainly Clear
11/9/2012 4:00,-3.4,-5.2,87,7,25,101.2,Clear
8/12/2012 3:00,19.5,19,97,0,12.9,100.65,Mostly Cloudy
7/30/2012 16:00,29.9,14.3,,9,48.3,101.04,Cloudy
6/8/2012 21:00,14.1,8.3,68,9,25,100.41,Clear
8/29/2012 4:00,10.5,7.6,82,7,25,101.06,Clear
2/23/2012 7:00,0.6,-1,89,7,8,99.2,Fog
10/27/2012 11:00,13.4,11.1,86,11,6.4,101.35,Fog
11/15/2012 2:00,-2.3,-5.1,81,13,25,103,Mainly Clear
10/9/2012 11:00,13.5,4.7,55,6,48.3,101.93,Mainly Clear
6/17/2012 20:00,24.5,15.1,56,15,48.3,100.95,Cloudy
11/6/2012 9:00,-0.2,-5.8,,7,48.3,101.9,Mainly Clear
1/29/2012 12:00,0.1,-7.6,,37,24.1,100.77,Mainly Clear
6/23/2012 23:00,18.8,8.5,,0,25,,Clear
11/21/2012 15:00,8.2,-2.1,48,4,19.3,101.87,Mainly Clear
7/8/2012 2:00,20,12.7,63,11,25,100.62,Mainly Clear
4/21/2012 3:00,5.5,3.3,86,20,25,,Cloudy
12/26/2012 23:00,-9.7,-12.3,,24,25,101.61,Cloudy
11/12/2012 20:00,16.4,7.5,56,33,25,100.91,Mostly Cloudy
8/12/2012 2:00,19.7,19,,4,12.9,100.66,Cloudy
3/5/2012 12:00,-12.2,-19.9,53,6,48.3,101.39,Mostly Cloudy
2/7/2012 23:00,-11.8,-20.8,47,9,25,,Clear
11/18/2012 3:00,-3.9,-6.1,85,7,25,103.61,Clear
